Time,Fz,Mx,My,CoPx,CoPy
0.280000,875.317579,27.217666,0.403770,-0.000461,0.031095
0.281000,875.320579,27.256926,0.359830,-0.000411,0.031139
0.282000,875.128709,27.216666,0.359540,-0.000411,0.031100
0.283000,875.128709,27.216666,0.359540,-0.000411,0.031100
0.284000,875.413449,27.237336,0.338070,-0.000386,0.031114
0.285000,875.223929,27.236556,0.337180,-0.000385,0.031120
0.286000,875.413449,27.237336,0.338070,-0.000386,0.031114
0.287000,875.224579,27.236336,0.293840,-0.000336,0.031119
0.288000,875.224579,27.236336,0.293840,-0.000336,0.031119
0.289000,875.319799,27.256226,0.271480,-0.000310,0.031139
0.290000,875.227579,27.275596,0.249900,-0.000286,0.031164
0.291000,875.226149,27.275116,0.204890,-0.000234,0.031164
0.292000,875.133929,27.294486,0.183310,-0.000209,0.031189
0.293000,875.226799,27.274896,0.161550,-0.000185,0.031163
0.294000,875.136929,27.333746,0.139370,-0.000159,0.031234
0.295000,874.945059,27.293486,0.139080,-0.000159,0.031195
0.296000,875.044709,27.353116,0.117790,-0.000135,0.031259
0.297000,875.040279,27.313376,0.116720,-0.000133,0.031214
0.298000,874.948059,27.332746,0.095140,-0.000109,0.031239
0.299000,874.948059,27.332746,0.095140,-0.000109,0.031239
0.300000,874.759189,27.331746,0.050910,-0.000058,0.031245
0.301000,874.574749,27.370486,0.007750,-0.000009,0.031296
0.302000,874.669969,27.390376,-0.014610,0.000017,0.031315
0.303000,874.669969,27.390376,-0.014610,0.000017,0.031315
0.304000,874.669969,27.390376,-0.014610,0.000017,0.031315
0.305000,874.573319,27.370006,-0.037260,0.000043,0.031295
0.306000,874.481099,27.389376,-0.058840,0.000067,0.031321
0.307000,874.296009,27.428336,-0.058660,0.000067,0.031372
0.308000,874.200789,27.408446,-0.036300,0.000042,0.031353
0.309000,874.107139,27.427336,-0.102890,0.000118,0.031378
0.310000,874.010489,27.406966,-0.125540,0.000144,0.031358
0.311000,873.918269,27.426336,-0.147120,0.000168,0.031383
0.312000,873.826049,27.445706,-0.168700,0.000193,0.031409
0.313000,873.821619,27.405966,-0.169770,0.000194,0.031363
0.314000,873.636529,27.444926,-0.169590,0.000194,0.031415
0.315000,873.636529,27.444926,-0.169590,0.000194,0.031415
0.316000,873.547309,27.503556,-0.235110,0.000269,0.031485
0.317000,873.452089,27.483666,-0.212750,0.000244,0.031466
0.318000,873.454439,27.523146,-0.213350,0.000244,0.031511
0.319000,873.358439,27.502556,-0.279340,0.000320,0.031491
0.320000,873.166569,27.462296,-0.279630,0.000320,0.031451
0.321000,873.261789,27.482186,-0.301990,0.000346,0.031471
0.322000,873.168919,27.501776,-0.280230,0.000321,0.031497
0.323000,873.264139,27.521666,-0.302590,0.000347,0.031516
0.324000,873.168139,27.501076,-0.368580,0.000422,0.031496
0.325000,872.890829,27.559406,-0.389980,0.000447,0.031573
0.326000,872.792749,27.538556,-0.457640,0.000524,0.031552
0.327000,872.700529,27.557926,-0.479220,0.000549,0.031578
0.328000,872.797179,27.578296,-0.456570,0.000523,0.031598
